	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
45	Hiranandani Queensgate	House Of Hiranandani	Begur	Under Construction	Queensgate is a newly launched residential project by House of Hiranandani, located Off Bannerghatta Road, Bangalore. Bannerghatta is one of the most promising and desirable locations in South Bangalore. It is very close to Electronics City and major corporates like Infosys, Wipro, Dell, Siemens and HP. Besides, it enjoys close proximity to countries best educational institutions including IIM Bangalore, Sarala Birla Academy, Ryan International School, in addition to large multi specialty hospitals such as Wockhardt and Apollo. There will be 3 blocks in this project with S+27 floors. It offers well-designed 1 BHK, 2 BHK and 3 BHK apartments with area ranging between 565 sq. ft. - 1685 sq. ft. These apartments will be luxuriously designed and will have great interior specifications along with maximum space utilization. The project comes loaded with host of amicable amenities like swimming pools, fully equipped gymnasium, tennis court, badminton court, squash court and basketball court. House of Hiranandani is a leading developer in the real estate sector. The group has built multi-use developments in India on a large scale and has introduced retail, hospitality, healthcare, education and entertainment into their developments. The group has established various schools, colleges, institutions and hospitals. Their clubhouses and community spaces have earned international repute and success.	Possession date: Aug'21	1693 sq ft(3BHK+3T)	3 BHK	565 - 1,693 sq ft	₹ 35.28 L - ₹ 1.06 Cr	1, 2, 3 BHK	432	RERA ID: PR/KN/170801/000971
46	Prabhavathi Spring Field 2	Prabhavathi	Begur	On Hold	Located in Begur, Bangalore, Prabhavathi Spring Field 2 is an under construction housing community. It has apartments of different configurations available through the developer. The flats are spacious and let in ample sunshine and fresh air. Prabhavathi Builders and Developers has been a part of the real estate sector for near to a decade. They have numerous projects which include those in Bommanahalli and BTM Layout, apart from Begur. They are preferred for their focus on quality. Begur is located towards the south of Bangalore and is only 1.5 kilometre from the Hosur Road. It is around 3.5 kilometre from Electronics City, which is why the area is preferable among those working here.	Possession date: Dec'18	1050 sq ft(3BHK+3T)	3 BHK	590 - 1,050 sq ft	₹ 20.36 L - ₹ 36.23 L	1, 2, 3 BHK	9	
47	Excel Codename Five Rings Apartment	Excel Group	Sarjapur	Under Construction	Located in Sarjapur, Bangalore, Codename Five Rings Apartment is a premium housing project launched by Excel Group. The project offers Apartment in 1, 2 BHK configurations available from 391 sqft to 1200 sqft. These units in Sarjapur Road, are available at an attractive price points starting at @Rs 3,999 per sqft and will be available to buyers at a starting price of Rs 15.64 lacs. The project is Under Construction project and possession in Dec 20. Codename Five Rings Apartment has many amenities, such as Power Backup, Swimming Pool, Street Cams, Wifi, Retail Shops, Landscaped Gardens etc.	Possession date: Dec'20	1200 sq ft(2BHK+2T)	2 BHK	391 - 1,200 sq ft	₹ 15.64 L - ₹ 47.99 L	1, 2 BHK	640	RERA ID: PR/KN/170922/002143
48	Sovereign Lake View	Sovereign Developers	Vidyaranyapura	On Hold	Sovereign Developers Lake View Residency has an availability of lavish apartments of 2 and 3 BHK in the Vidyaranyapura region of Bangalore. The apartments are all set for moving in purpose. The area of the apartments is about 915 to 1215 sq ft. Necessities like park, bank, hospital, bus station, petrol pump, ATM, restaurant all are available in the neighbourhood. The other guarantees of the project are a contamination free setting along with covered parking space for each apartment, gym, club house, and security for 24 hours, a power back up system and much more. The cost of the apartments is based on the request value.	Possession started from: Dec'17	1215 sq ft(3BHK+3T)	3 BHK	915 - 1,215 sq ft	₹ 34.80 L - ₹ 46.21 L	2, 3 BHK	1040	
49	J Sons Hill City	J Sons Developers	Vidyaranyapura	Under Construction	J Sons Developers Hill City is a housing complex in the north Bengaluru suburb of Vidyaranyapura. Covering a vast expanse, the project offers apartments of different layouts and built-up area through the developer. The construction of the community is slated to commence soon. The flats have been designed according to Vaastu tenets. Numerous amenities are there for home owners to enjoy in the community such as cafeteria, swimming pool; childrens play area and gymnasium. J Sons Developers is a renowned property builder. They have several projects to their credit, some of which are under construction. Yelahanka is 14 kilometres from the heart of Bengaluru.	Possession date: Jun'19	2000 sq ft(4BHK+4T)	4 BHK	650 - 2,000 sq ft	₹ 26.00 L - ₹ 80.00 L	1, 2, 3, 4 BHK	118	
50	Jaithra Sadhana	Jaithra	Chandapura	On Hold		Possession started from: Dec'17	1400 sq ft(3BHK+2T)	3 BHK	875 - 1,400 sq ft	₹ 21.88 L - ₹ 35.00 L	2, 3 BHK	220	
51	Shweta Cascade	Shweta And Gita	Chandapura	On Hold		Possession date: Apr'18	950 sq ft(2BHK+2T)	2 BHK	495 - 950 sq ft	₹ 15.35 L - ₹ 29.45 L	1, 2 BHK	60	
52	Surath Silver Star II	Surath	Chandapura	Under Construction	Silver Star II by Surath Builders located in Anekal City, Bangalore, offers apartments. The amenities that are being offered by this housing property include gymnasium, childrenâ€™s play area, multipurpose room, 24x7 security, power backup, landscaped gardens, car parking, lifts, video lounge, etc. In the southern part of Bangalore lies Anekal, one of the most rapidly growing suburbs. It is adjacent to the Thally Road, which connects it to the major commercial locations. The reputed educational institutions of the area include Pearl Valley English School, Bharathi Girls High School, Sai City International School, and St. Josephâ€™s High School etc. IIM Bangalore can be reached in 41 minutes via the Hosur Road. The average apartment price here is Rs. 2575 per sq ft.	Possession date: Nov'18	1136 sq ft(3BHK+3T)	3 BHK	655 - 1,136 sq ft	₹ 13.76 L - ₹ 23.86 L	2, 3 BHK	52	
53	Surath Silver Star I	Surath	Chandapura	Under Construction	Silver Star I by Surath Builders located in Anekal City, Bangalore, offers apartments. The amenities that are being offered by this housing property include gymnasium, childrenâ€™s play area, multipurpose room, power backup, video lounge, etc. In the southern part of Bangalore lies Anekal, one of the most rapidly growing suburbs. It is adjacent to the Thally Road, which holds the credit of connecting it to the major commercial locations. The noteworthy educational institutions of the area include Pearl Valley English School, Bharathi Girls High School, Sai City International School, and St. Josephâ€™s High School etc. IIM Bangalore can be reached in 41 minutes via the Hosur Road. The average apartment price here is Rs. 2575 per sq ft.	Possession date: Nov'18	1191 sq ft(3BHK+2T)	3 BHK	683 - 1,191 sq ft	₹ 17.07 L - ₹ 29.77 L	2, 3 BHK	38	
54	Vishal Peace Park	Vishal Builders Bangalore	Chandapura	On Hold	Peace Park is a residential initiative launched by Vishal Builders Bengaluru. This project is located at Chandapura in Bengaluru, and offers well-designed 2 and 3 BHK apartments. The buyers can enjoy amenities such as a gymnasium, a multipurpose room, rainwater harvesting system, an intercom facility, 24x7 security and power backup provision, landscaped gardens, car parking area, an elevator, and closed car parking area. A suburb in south Bengaluru, Chandapura has a well-developed social infrastructure. The National Highway 7 is its main thoroughfare. It is well-connected to the key parts of the city.	Possession date: Mar'18	1434 sq ft(3BHK+2T)	3 BHK	1,150 - 1,434 sq ft	₹ 26.11 L - ₹ 35.10 L	2, 3 BHK	33	
55	Subha Essence	Subha Builders	Chandapura	Under Construction		Possession date: Dec'18	1305 sq ft(3BHK+3T)	3 BHK	645 - 1,305 sq ft	₹ 18.70 L - ₹ 37.84 L	1, 2, 3 BHK	104	RERA ID: PR/KN/170801/000915
56	Sipani Royal Heritage	Sipani	Chandapura	Under Construction	Chandapura region of Bangalore has an availability of nice and comfy apartments initiated in a project by Sipani Royal Heritage Residency Company of real estate. The neighbourhood is well settled with facilities like high school, bank, ATM, commercial complex, primary school, ATM, hospital, bus station, petrol pump, train station, office complex, restaurant, metro station, park etc all are present near at hand. The total numbers of apartments provided by this project are many and they are all in an under construction stage. The Price of the apartments is based on the request value. The amenities offered by this project are gym, club house, playground for children, sports facility, multipurpose room and much more.	Possession date: Jun'19	1115 sq ft(3BHK+3T)	3 BHK	575 - 1,115 sq ft	₹ 14.38 L - ₹ 27.88 L	1, 2, 3 BHK	1274	
57	Sowparnika Flamenco	Sowparnika Projects	Sarjapur	Pre Launch		Possession date: Jan'21	996 sq ft(3BHK+2T)	3 BHK	425 - 996 sq ft	₹ 15.30 L - ₹ 37.56 L	1, 2, 3 BHK	264	
58	Mantri Centrium	Mantri Group	Seshadripuram	Under Construction	Centrium is a premium project launched by the Mantri Group and comes with 3 and 4 BHK apartments sizedand comes with several amenities for residents including a well equipped gymnasium, sports facilities, swimming pool, multipurpose room, club house, intercom facilities, power backup facilities, 24 hour security services, car parking facilities, steam and sauna, table tennis facilities, massage room, mini theatre, billiards facilities, mini theatre, board games, Jacuzzi pool and indoor restaurant with open party area. The project is located at Seshadripuram and lies only 2.9 kilometres away from the Bengaluru city railway station. The International Airport at Devanahalli lies just 32.2 kilometres away from the project.	Possession date: Aug'19	8900 sq ft(4BHK+4T)	4 BHK	3,165 - 8,900 sq ft	₹ 3.79 Cr - ₹ 5.38 Cr	3, 4 BHK	180	RERA ID: PR/KN/170731/000485
59	Unishire Uni Lakshmi Villas	Unishire Projects Pvt Ltd	Seshadripuram	Under Construction	The construction company of Unishire Uni Lakshmi Villas apartment in Seshadripuram region of Bengaluru is offering luxurious villas. The project is in under construction stage. Different necessities like schools, banks, hospitals, petrol pumps, bus stations, restaurants, higher education schools, parks, ATMs, metro stations etc all are present near the project premises. This project has many facilities like a gym, rain water harvesting system, a playground for children, jogging track, security for 24 hours, power back up etc, and it offers luxurious space for accommodation purpose. The price of the villas is based on the request value.	Possession date: Dec'21	2657 sq ft(3BHK+3T)	3 BHK	1,217 - 2,657 sq ft	₹ 1.64 Cr - ₹ 3.59 Cr	2, 3 BHK	23	
60	Vakil Magnolia	Vakil	Chandapura	Under Construction		Possession date: Dec'18	1365 sq ft(3BHK+3T)	3 BHK	1,136 - 1,365 sq ft	₹ 32.94 L - ₹ 39.59 L	2, 3 BHK	100	RERA ID: PR/KN/170823/001257
61	MDS One More Light	MDS	Sarjapur	Under Construction		Possession date: May'19	1330 sq ft(2BHK+2T)	2 BHK	1,330 sq ft	₹ 37.91 L	2 BHK	136	RERA ID: PR/KN/17081/001314
62	Aswani Sunshine	Aswani Properties	Sarjapur	Under Construction		Possession date: Mar'19	800 sq ft(3BHK+2T)	3 BHK	509 - 800 sq ft	₹ 14.25 L - ₹ 22.40 L	2, 3 BHK	160	
63	Vivansaa Blessings	Vivansaa	Sarjapur	Under Construction	Live in the suburb of Sarjapur, Bangalore at the Vivansaa Blessings. Currently in the pre launch phase, the community has apartments of different configurations. They can be availed through the developer. These flats are spacious, offer great views of the surroundings, aerated and lit by natural light. Established in 2011, Vivansaa is a growing real estate development company. They have numerous projects to their name, some of which are under construction. They are preferred for their focus on quality and timely delivery of projects. Sarjapur is a fast developing suburb of Bangalore. The area is easily accessible from Outer Ring Road, Whitefield and Marathahalli.	Possession date: Dec'18	1883 sq ft(3BHK+3T)	3 BHK	606 - 1,883 sq ft	₹ 17.88 L - ₹ 55.55 L	1, 2, 3 BHK	120	
